ダウンロードした時刻：2026/04/13 04:54:09

,東京
,日射量(MJ/m2)
2025年10月12日22時,--
2025年10月12日23時,--
2025年10月12日24時,--
2025年10月13日1時,--
2025年10月13日2時,--
2025年10月13日3時,--
2025年10月13日4時,--
2025年10月13日5時,--
2025年10月13日6時,0.00
2025年10月13日7時,0.08
2025年10月13日8時,0.35
2025年10月13日9時,0.74
2025年10月13日10時,1.34
2025年10月13日11時,1.14
2025年10月13日12時,0.87
2025年10月13日13時,1.13
2025年10月13日14時,0.88
2025年10月13日15時,0.79
2025年10月13日16時,0.52
2025年10月13日17時,0.33
2025年10月13日18時,0.01
2025年10月13日19時,--
2025年10月13日20時,--
2025年10月13日21時,--
2025年10月13日22時,--
2025年10月13日23時,--
2025年10月13日24時,--
2025年10月14日1時,--
2025年10月14日2時,--
2025年10月14日3時,--
2025年10月14日4時,--
2025年10月14日5時,--
2025年10月14日6時,0.01
2025年10月14日7時,0.10
2025年10月14日8時,0.52
2025年10月14日9時,0.91
2025年10月14日10時,0.70
2025年10月14日11時,0.79
2025年10月14日12時,0.88
2025年10月14日13時,0.80
2025年10月14日14時,0.72
2025年10月14日15時,0.33
2025年10月14日16時,0.24
2025年10月14日17時,0.05
2025年10月14日18時,0.00
2025年10月14日19時,--
2025年10月14日20時,--
2025年10月14日21時,--
2025年10月14日22時,--
2025年10月14日23時,--
2025年10月14日24時,--
2025年10月15日1時,--
2025年10月15日2時,--
2025年10月15日3時,--
2025年10月15日4時,--
2025年10月15日5時,--
2025年10月15日6時,0.00
2025年10月15日7時,0.04
2025年10月15日8時,0.25
2025年10月15日9時,0.51
2025年10月15日10時,0.65
2025年10月15日11時,0.65
2025年10月15日12時,0.74
2025年10月15日13時,1.05
2025年10月15日14時,0.48
2025年10月15日15時,0.23
2025年10月15日16時,0.22
2025年10月15日17時,0.08
2025年10月15日18時,0.00
2025年10月15日19時,--
2025年10月15日20時,--
2025年10月15日21時,--
2025年10月15日22時,--
2025年10月15日23時,--
2025年10月15日24時,--
2025年10月16日1時,--
2025年10月16日2時,--
2025年10月16日3時,--
2025年10月16日4時,--
2025年10月16日5時,--
2025年10月16日6時,0.00
2025年10月16日7時,0.06
2025年10月16日8時,0.21
2025年10月16日9時,0.36
2025年10月16日10時,0.41
2025年10月16日11時,0.48
2025年10月16日12時,1.02
2025年10月16日13時,0.52
2025年10月16日14時,0.53
2025年10月16日15時,0.44
2025年10月16日16時,0.31
2025年10月16日17時,0.03
2025年10月16日18時,0.00
2025年10月16日19時,--
2025年10月16日20時,--
2025年10月16日21時,--
2025年10月16日22時,--
2025年10月16日23時,--
2025年10月16日24時,--
2025年10月17日1時,--
2025年10月17日2時,--
2025年10月17日3時,--
2025年10月17日4時,--
2025年10月17日5時,--
2025年10月17日6時,0.00
2025年10月17日7時,0.31
2025年10月17日8時,0.84
2025年10月17日9時,1.57
2025年10月17日10時,2.15
2025年10月17日11時,2.47
2025年10月17日12時,2.32
2025年10月17日13時,2.17
2025年10月17日14時,2.10
2025年10月17日15時,1.55
2025年10月17日16時,0.88
2025年10月17日17時,0.23
2025年10月17日18時,0.00
2025年10月17日19時,--
2025年10月17日20時,--
2025年10月17日21時,--
2025年10月17日22時,--
2025年10月17日23時,--
2025年10月17日24時,--
2025年10月18日1時,--
2025年10月18日2時,--
2025年10月18日3時,--
2025年10月18日4時,--
2025年10月18日5時,--
2025年10月18日6時,0.01
2025年10月18日7時,0.12
2025年10月18日8時,0.42
2025年10月18日9時,1.53
2025年10月18日10時,1.79
2025年10月18日11時,1.36
2025年10月18日12時,2.39
2025年10月18日13時,2.24
2025年10月18日14時,1.52
2025年10月18日15時,1.03
2025年10月18日16時,0.39
2025年10月18日17時,0.10
2025年10月18日18時,0.00
2025年10月18日19時,--
2025年10月18日20時,--
2025年10月18日21時,--
2025年10月18日22時,--
2025年10月18日23時,--
2025年10月18日24時,--
2025年10月19日1時,--
2025年10月19日2時,--
2025年10月19日3時,--
2025年10月19日4時,--
2025年10月19日5時,--
2025年10月19日6時,0.00
2025年10月19日7時,0.15
2025年10月19日8時,0.81
2025年10月19日9時,1.26
2025年10月19日10時,0.95
2025年10月19日11時,0.47
2025年10月19日12時,0.46
2025年10月19日13時,0.28
2025年10月19日14時,0.13
2025年10月19日15時,0.22
2025年10月19日16時,0.18
2025年10月19日17時,0.03
2025年10月19日18時,0.00
2025年10月19日19時,--
2025年10月19日20時,--
2025年10月19日21時,--
2025年10月19日22時,--
2025年10月19日23時,--
2025年10月19日24時,--
2025年10月20日1時,--
2025年10月20日2時,--
2025年10月20日3時,--
2025年10月20日4時,--
2025年10月20日5時,--
2025年10月20日6時,0.00
2025年10月20日7時,0.05
2025年10月20日8時,0.12
2025年10月20日9時,0.23
2025年10月20日10時,0.50
2025年10月20日11時,0.79
2025年10月20日12時,0.95
2025年10月20日13時,0.76
2025年10月20日14時,0.43
2025年10月20日15時,0.35
2025年10月20日16時,0.11
2025年10月20日17時,0.04
2025年10月20日18時,0.00
2025年10月20日19時,--
2025年10月20日20時,--
2025年10月20日21時,--
2025年10月20日22時,--
2025年10月20日23時,--
2025年10月20日24時,--
2025年10月21日1時,--
2025年10月21日2時,--
2025年10月21日3時,--
2025年10月21日4時,--
2025年10月21日5時,--
2025年10月21日6時,0.00
2025年10月21日7時,0.04
2025年10月21日8時,0.26
2025年10月21日9時,0.39
2025年10月21日10時,0.71
2025年10月21日11時,0.75
2025年10月21日12時,0.69
2025年10月21日13時,0.70
2025年10月21日14時,0.35
2025年10月21日15時,0.21
2025年10月21日16時,0.11
2025年10月21日17時,0.03
2025年10月21日18時,0.00
2025年10月21日19時,--
2025年10月21日20時,--
2025年10月21日21時,--
2025年10月21日22時,--
2025年10月21日23時,--
2025年10月21日24時,--
2025年10月22日1時,--
2025年10月22日2時,--
2025年10月22日3時,--
2025年10月22日4時,--
2025年10月22日5時,--
2025年10月22日6時,0.00
2025年10月22日7時,0.03
2025年10月22日8時,0.09
2025年10月22日9時,0.36
2025年10月22日10時,0.39
2025年10月22日11時,0.46
2025年10月22日12時,0.27
2025年10月22日13時,0.24
2025年10月22日14時,0.18
2025年10月22日15時,0.12
2025年10月22日16時,0.09
2025年10月22日17時,0.02
2025年10月22日18時,0.00
2025年10月22日19時,--
2025年10月22日20時,--
2025年10月22日21時,--
2025年10月22日22時,--
2025年10月22日23時,--
2025年10月22日24時,--
2025年10月23日1時,--
2025年10月23日2時,--
2025年10月23日3時,--
2025年10月23日4時,--
2025年10月23日5時,--
2025年10月23日6時,0.00
2025年10月23日7時,0.08
2025年10月23日8時,0.39
2025年10月23日9時,0.84
2025年10月23日10時,1.01
2025年10月23日11時,1.17
2025年10月23日12時,1.27
2025年10月23日13時,1.72
2025年10月23日14時,1.13
2025年10月23日15時,1.31
2025年10月23日16時,0.64
2025年10月23日17時,0.10
2025年10月23日18時,0.00
2025年10月23日19時,--
2025年10月23日20時,--
2025年10月23日21時,--
2025年10月23日22時,--
2025年10月23日23時,--
2025年10月23日24時,--
2025年10月24日1時,--
2025年10月24日2時,--
2025年10月24日3時,--
2025年10月24日4時,--
2025年10月24日5時,--
2025年10月24日6時,0.00
2025年10月24日7時,0.06
2025年10月24日8時,0.27
2025年10月24日9時,0.62
2025年10月24日10時,0.94
2025年10月24日11時,0.86
2025年10月24日12時,1.01
2025年10月24日13時,0.64
2025年10月24日14時,0.64
2025年10月24日15時,0.45
2025年10月24日16時,0.19
2025年10月24日17時,0.03
2025年10月24日18時,0.00
2025年10月24日19時,--
2025年10月24日20時,--
2025年10月24日21時,--
2025年10月24日22時,--
2025年10月24日23時,--
2025年10月24日24時,--
2025年10月25日1時,--
2025年10月25日2時,--
2025年10月25日3時,--
2025年10月25日4時,--
2025年10月25日5時,--
2025年10月25日6時,0.00
2025年10月25日7時,0.04
2025年10月25日8時,0.26
2025年10月25日9時,0.38
2025年10月25日10時,0.30
2025年10月25日11時,0.30
2025年10月25日12時,0.41
2025年10月25日13時,0.31
2025年10月25日14時,0.19
2025年10月25日15時,0.24
2025年10月25日16時,0.11
2025年10月25日17時,0.02
2025年10月25日18時,0.00
2025年10月25日19時,--
2025年10月25日20時,--
2025年10月25日21時,--
2025年10月25日22時,--
2025年10月25日23時,--
2025年10月25日24時,--
2025年10月26日1時,--
2025年10月26日2時,--
2025年10月26日3時,--
2025年10月26日4時,--
2025年10月26日5時,--
2025年10月26日6時,0.00
2025年10月26日7時,0.02
2025年10月26日8時,0.06
2025年10月26日9時,0.13
2025年10月26日10時,0.21
2025年10月26日11時,0.33
2025年10月26日12時,0.37
2025年10月26日13時,0.30
2025年10月26日14時,0.27
2025年10月26日15時,0.13
2025年10月26日16時,0.04
2025年10月26日17時,0.02
2025年10月26日18時,0.00
2025年10月26日19時,--
2025年10月26日20時,--
2025年10月26日21時,--
2025年10月26日22時,--
2025年10月26日23時,--
2025年10月26日24時,--
2025年10月27日1時,--
2025年10月27日2時,--
2025年10月27日3時,--
2025年10月27日4時,--
2025年10月27日5時,--
2025年10月27日6時,0.00
2025年10月27日7時,0.11
2025年10月27日8時,0.48
2025年10月27日9時,0.76
2025年10月27日10時,1.36
2025年10月27日11時,0.77
2025年10月27日12時,1.15
2025年10月27日13時,1.19
2025年10月27日14時,2.07
2025年10月27日15時,0.68
2025年10月27日16時,0.61
2025年10月27日17時,0.11
2025年10月27日18時,0.00
2025年10月27日19時,--
2025年10月27日20時,--
2025年10月27日21時,--
2025年10月27日22時,--
2025年10月27日23時,--
2025年10月27日24時,--
2025年10月28日1時,--
2025年10月28日2時,--
2025年10月28日3時,--
2025年10月28日4時,--
2025年10月28日5時,--
2025年10月28日6時,0.00
2025年10月28日7時,0.11
2025年10月28日8時,0.61
2025年10月28日9時,0.94
2025年10月28日10時,0.91
2025年10月28日11時,2.13
2025年10月28日12時,2.33
2025年10月28日13時,1.55
2025年10月28日14時,1.86
2025年10月28日15時,1.10
2025年10月28日16時,0.33
2025年10月28日17時,0.04
2025年10月28日18時,0.00
2025年10月28日19時,--
2025年10月28日20時,--
2025年10月28日21時,--
2025年10月28日22時,--
2025年10月28日23時,--
2025年10月28日24時,--
2025年10月29日1時,--
2025年10月29日2時,--
2025年10月29日3時,--
2025年10月29日4時,--
2025年10月29日5時,--
2025年10月29日6時,0.00
2025年10月29日7時,0.08
2025年10月29日8時,0.41
2025年10月29日9時,0.65
2025年10月29日10時,0.91
2025年10月29日11時,1.28
2025年10月29日12時,1.78
2025年10月29日13時,1.30
2025年10月29日14時,1.06
2025年10月29日15時,0.75
2025年10月29日16時,0.55
2025年10月29日17時,0.14
2025年10月29日18時,0.00
2025年10月29日19時,--
2025年10月29日20時,--
2025年10月29日21時,--
2025年10月29日22時,--
2025年10月29日23時,--
2025年10月29日24時,--
2025年10月30日1時,--
2025年10月30日2時,--
2025年10月30日3時,--
2025年10月30日4時,--
2025年10月30日5時,--
2025年10月30日6時,0.00
2025年10月30日7時,0.05
2025年10月30日8時,0.69
2025年10月30日9時,1.38
2025年10月30日10時,1.18
2025年10月30日11時,1.43
2025年10月30日12時,2.05
2025年10月30日13時,2.21
2025年10月30日14時,1.86
2025年10月30日15時,1.33
2025年10月30日16時,0.67
2025年10月30日17時,0.11
2025年10月30日18時,0.00
2025年10月30日19時,--
2025年10月30日20時,--
2025年10月30日21時,--
2025年10月30日22時,--
2025年10月30日23時,--
2025年10月30日24時,--
2025年10月31日1時,--
2025年10月31日2時,--
2025年10月31日3時,--
2025年10月31日4時,--
2025年10月31日5時,--
2025年10月31日6時,0.00
2025年10月31日7時,0.18
2025年10月31日8時,0.69
2025年10月31日9時,0.76
2025年10月31日10時,0.86
2025年10月31日11時,0.81
2025年10月31日12時,0.69
2025年10月31日13時,0.59
2025年10月31日14時,0.35
2025年10月31日15時,0.17
2025年10月31日16時,0.05
2025年10月31日17時,0.01
2025年10月31日18時,0.00
2025年10月31日19時,--
2025年10月31日20時,--
2025年10月31日21時,--
2025年10月31日22時,--
2025年10月31日23時,--
2025年10月31日24時,--
2025年11月1日1時,--
2025年11月1日2時,--
2025年11月1日3時,--
2025年11月1日4時,--
2025年11月1日5時,--
2025年11月1日6時,0.00
2025年11月1日7時,0.10
2025年11月1日8時,0.83
2025年11月1日9時,1.46
2025年11月1日10時,1.27
2025年11月1日11時,1.63
2025年11月1日12時,1.23
2025年11月1日13時,0.83
2025年11月1日14時,0.73
2025年11月1日15時,0.63
2025年11月1日16時,0.56
2025年11月1日17時,0.13
2025年11月1日18時,0.00
2025年11月1日19時,--
2025年11月1日20時,--
2025年11月1日21時,--
2025年11月1日22時,--
2025年11月1日23時,--
2025年11月1日24時,--
2025年11月2日1時,--
2025年11月2日2時,--
2025年11月2日3時,--
2025年11月2日4時,--
2025年11月2日5時,--
2025年11月2日6時,0.00
2025年11月2日7時,0.08
2025年11月2日8時,0.40
2025年11月2日9時,0.83
2025年11月2日10時,1.33
2025年11月2日11時,1.28
2025年11月2日12時,1.20
2025年11月2日13時,0.85
2025年11月2日14時,0.61
2025年11月2日15時,0.52
2025年11月2日16時,0.33
2025年11月2日17時,0.08
2025年11月2日18時,0.00
2025年11月2日19時,--
2025年11月2日20時,--
2025年11月2日21時,--
2025年11月2日22時,--
2025年11月2日23時,--
2025年11月2日24時,--
2025年11月3日1時,--
2025年11月3日2時,--
2025年11月3日3時,--
2025年11月3日4時,--
2025年11月3日5時,--
2025年11月3日6時,0.00
2025年11月3日7時,0.09
2025年11月3日8時,0.78
2025年11月3日9時,1.41
2025年11月3日10時,1.91
2025年11月3日11時,2.25
2025年11月3日12時,1.88
2025年11月3日13時,1.06
2025年11月3日14時,1.49
2025年11月3日15時,1.34
2025年11月3日16時,0.68
2025年11月3日17時,0.11
2025年11月3日18時,0.00
2025年11月3日19時,--
2025年11月3日20時,--
2025年11月3日21時,--
2025年11月3日22時,--
2025年11月3日23時,--
2025年11月3日24時,--
2025年11月4日1時,--
2025年11月4日2時,--
2025年11月4日3時,--
2025年11月4日4時,--
2025年11月4日5時,--
2025年11月4日6時,0.00
2025年11月4日7時,0.07
2025年11月4日8時,0.81
2025年11月4日9時,1.46
2025年11月4日10時,1.89
2025年11月4日11時,2.22
2025年11月4日12時,2.19
2025年11月4日13時,2.21
2025年11月4日14時,1.60
2025年11月4日15時,1.08
2025年11月4日16時,0.51
2025年11月4日17時,0.05
2025年11月4日18時,0.00
2025年11月4日19時,--
2025年11月4日20時,--
2025年11月4日21時,--
2025年11月4日22時,--
2025年11月4日23時,--
2025年11月4日24時,--
2025年11月5日1時,--
2025年11月5日2時,--
2025年11月5日3時,--
2025年11月5日4時,--
2025年11月5日5時,--
2025年11月5日6時,0.00
2025年11月5日7時,0.11
2025年11月5日8時,0.42
2025年11月5日9時,0.78
2025年11月5日10時,1.16
2025年11月5日11時,1.40
2025年11月5日12時,1.20
2025年11月5日13時,1.03
2025年11月5日14時,0.76
2025年11月5日15時,0.30
2025年11月5日16時,0.08
2025年11月5日17時,0.02
2025年11月5日18時,0.00
2025年11月5日19時,--
2025年11月5日20時,--
2025年11月5日21時,--
2025年11月5日22時,--
2025年11月5日23時,--
2025年11月5日24時,--
2025年11月6日1時,--
2025年11月6日2時,--
2025年11月6日3時,--
2025年11月6日4時,--
2025年11月6日5時,--
2025年11月6日6時,0.00
2025年11月6日7時,0.02
2025年11月6日8時,0.15
2025年11月6日9時,0.29
2025年11月6日10時,0.96
2025年11月6日11時,1.16
2025年11月6日12時,1.08
2025年11月6日13時,1.56
2025年11月6日14時,0.83
2025年11月6日15時,0.62
2025年11月6日16時,0.25
2025年11月6日17時,0.08
2025年11月6日18時,0.00
2025年11月6日19時,--
2025年11月6日20時,--
2025年11月6日21時,--
2025年11月6日22時,--
2025年11月6日23時,--
2025年11月6日24時,--
2025年11月7日1時,--
2025年11月7日2時,--
2025年11月7日3時,--
2025年11月7日4時,--
2025年11月7日5時,--
2025年11月7日6時,0.00
2025年11月7日7時,0.08
2025年11月7日8時,0.69
2025年11月7日9時,1.30
2025年11月7日10時,1.79
2025年11月7日11時,2.13
2025年11月7日12時,2.24
2025年11月7日13時,2.08
2025年11月7日14時,1.54
2025年11月7日15時,0.79
2025年11月7日16時,0.35
2025年11月7日17時,0.09
2025年11月7日18時,0.00
2025年11月7日19時,--
2025年11月7日20時,--
2025年11月7日21時,--
2025年11月7日22時,--
2025年11月7日23時,--
2025年11月7日24時,--
2025年11月8日1時,--
2025年11月8日2時,--
2025年11月8日3時,--
2025年11月8日4時,--
2025年11月8日5時,--
2025年11月8日6時,0.00
2025年11月8日7時,0.07
2025年11月8日8時,0.35
2025年11月8日9時,0.58
2025年11月8日10時,0.80
2025年11月8日11時,1.30
2025年11月8日12時,1.96
2025年11月8日13時,0.88
2025年11月8日14時,1.36
2025年11月8日15時,0.69
2025年11月8日16時,0.39
2025年11月8日17時,0.10
2025年11月8日18時,0.00
2025年11月8日19時,--
2025年11月8日20時,--
2025年11月8日21時,--
2025年11月8日22時,--
2025年11月8日23時,--
2025年11月8日24時,--
2025年11月9日1時,--
2025年11月9日2時,--
2025年11月9日3時,--
2025年11月9日4時,--
2025年11月9日5時,--
2025年11月9日6時,0.00
2025年11月9日7時,0.01
2025年11月9日8時,0.05
2025年11月9日9時,0.14
2025年11月9日10時,0.20
2025年11月9日11時,0.33
2025年11月9日12時,0.77
2025年11月9日13時,0.64
2025年11月9日14時,0.32
2025年11月9日15時,0.57
2025年11月9日16時,0.21
2025年11月9日17時,0.02
2025年11月9日18時,0.00
2025年11月9日19時,--
2025年11月9日20時,--
2025年11月9日21時,--
2025年11月9日22時,--
2025年11月9日23時,--
2025年11月9日24時,--
2025年11月10日1時,--
2025年11月10日2時,--
2025年11月10日3時,--
2025年11月10日4時,--
2025年11月10日5時,--
2025年11月10日6時,0.00
2025年11月10日7時,0.04
2025年11月10日8時,0.32
2025年11月10日9時,1.24
2025年11月10日10時,1.78
2025年11月10日11時,2.08
2025年11月10日12時,2.06
2025年11月10日13時,0.36
2025年11月10日14時,1.21
2025年11月10日15時,0.71
2025年11月10日16時,0.66
2025年11月10日17時,0.07
2025年11月10日18時,0.00
2025年11月10日19時,--
2025年11月10日20時,--
2025年11月10日21時,--
2025年11月10日22時,--
2025年11月10日23時,--
2025年11月10日24時,--
2025年11月11日1時,--
2025年11月11日2時,--
2025年11月11日3時,--
2025年11月11日4時,--
2025年11月11日5時,--
2025年11月11日6時,0.00
2025年11月11日7時,0.05
2025年11月11日8時,0.35
2025年11月11日9時,0.52
2025年11月11日10時,1.02
2025年11月11日11時,1.36
2025年11月11日12時,1.08
2025年11月11日13時,0.70
2025年11月11日14時,0.67
2025年11月11日15時,0.36
2025年11月11日16時,0.17
2025年11月11日17時,0.06
2025年11月11日18時,0.00
2025年11月11日19時,--
2025年11月11日20時,--
2025年11月11日21時,--
2025年11月11日22時,--
2025年11月11日23時,--
2025年11月11日24時,--
2025年11月12日1時,--
2025年11月12日2時,--
2025年11月12日3時,--
2025年11月12日4時,--
2025年11月12日5時,--
2025年11月12日6時,0.00
2025年11月12日7時,0.05
2025年11月12日8時,0.70
2025年11月12日9時,1.34
2025年11月12日10時,1.83
2025年11月12日11時,1.37
2025年11月12日12時,1.21
2025年11月12日13時,0.84
2025年11月12日14時,1.02
2025年11月12日15時,1.08
2025年11月12日16時,0.40
2025年11月12日17時,0.04
2025年11月12日18時,0.00
2025年11月12日19時,--
2025年11月12日20時,--
2025年11月12日21時,--
2025年11月12日22時,--
2025年11月12日23時,--
2025年11月12日24時,--
2025年11月13日1時,--
2025年11月13日2時,--
2025年11月13日3時,--
2025年11月13日4時,--
2025年11月13日5時,--
2025年11月13日6時,0.00
2025年11月13日7時,0.02
2025年11月13日8時,0.10
2025年11月13日9時,0.17
2025年11月13日10時,0.25
2025年11月13日11時,0.45
2025年11月13日12時,0.64
2025年11月13日13時,0.56
2025年11月13日14時,0.40
2025年11月13日15時,0.29
2025年11月13日16時,0.11
2025年11月13日17時,0.01
2025年11月13日18時,0.00
2025年11月13日19時,--
2025年11月13日20時,--
2025年11月13日21時,--
2025年11月13日22時,--
2025年11月13日23時,--
2025年11月13日24時,--
2025年11月14日1時,--
2025年11月14日2時,--
2025年11月14日3時,--
2025年11月14日4時,--
2025年11月14日5時,--
2025年11月14日6時,0.00
2025年11月14日7時,0.04
2025年11月14日8時,0.63
2025年11月14日9時,1.24
2025年11月14日10時,1.73
2025年11月14日11時,2.03
2025年11月14日12時,2.12
2025年11月14日13時,1.97
2025年11月14日14時,1.65
2025年11月14日15時,1.10
2025年11月14日16時,0.49
2025年11月14日17時,0.04
2025年11月14日18時,0.00
2025年11月14日19時,--
2025年11月14日20時,--
2025年11月14日21時,--
2025年11月14日22時,--
2025年11月14日23時,--
2025年11月14日24時,--
2025年11月15日1時,--
2025年11月15日2時,--
2025年11月15日3時,--
2025年11月15日4時,--
2025年11月15日5時,--
2025年11月15日6時,0.00
2025年11月15日7時,0.02
2025年11月15日8時,0.25
2025年11月15日9時,1.16
2025年11月15日10時,1.49
2025年11月15日11時,2.00
2025年11月15日12時,2.12
2025年11月15日13時,1.91
2025年11月15日14時,1.65
2025年11月15日15時,1.05
2025年11月15日16時,0.48
2025年11月15日17時,0.03
2025年11月15日18時,0.00
2025年11月15日19時,--
2025年11月15日20時,--
2025年11月15日21時,--
2025年11月15日22時,--
2025年11月15日23時,--
2025年11月15日24時,--
2025年11月16日1時,--
2025年11月16日2時,--
2025年11月16日3時,--
2025年11月16日4時,--
2025年11月16日5時,--
2025年11月16日6時,0.00
2025年11月16日7時,0.06
2025年11月16日8時,0.61
2025年11月16日9時,1.20
2025年11月16日10時,1.67
2025年11月16日11時,1.70
2025年11月16日12時,1.92
2025年11月16日13時,1.37
2025年11月16日14時,0.93
2025年11月16日15時,0.92
2025年11月16日16時,0.50
2025年11月16日17時,0.07
2025年11月16日18時,0.00
2025年11月16日19時,--
2025年11月16日20時,--
2025年11月16日21時,--
2025年11月16日22時,--
2025年11月16日23時,--
2025年11月16日24時,--
2025年11月17日1時,--
2025年11月17日2時,--
2025年11月17日3時,--
2025年11月17日4時,--
2025年11月17日5時,--
2025年11月17日6時,0.00
2025年11月17日7時,0.05
2025年11月17日8時,0.59
2025年11月17日9時,1.20
2025年11月17日10時,1.70
2025年11月17日11時,2.03
2025年11月17日12時,2.13
2025年11月17日13時,2.01
2025年11月17日14時,1.65
2025年11月17日15時,1.12
2025年11月17日16時,0.50
2025年11月17日17時,0.05
2025年11月17日18時,0.00
2025年11月17日19時,--
2025年11月17日20時,--
2025年11月17日21時,--
2025年11月17日22時,--
2025年11月17日23時,--
2025年11月17日24時,--
2025年11月18日1時,--
2025年11月18日2時,--
2025年11月18日3時,--
2025年11月18日4時,--
2025年11月18日5時,--
2025年11月18日6時,0.00
2025年11月18日7時,0.05
2025年11月18日8時,0.47
2025年11月18日9時,0.67
2025年11月18日10時,0.82
2025年11月18日11時,0.93
2025年11月18日12時,1.01
2025年11月18日13時,1.82
2025年11月18日14時,0.79
2025年11月18日15時,0.41
2025年11月18日16時,0.05
2025年11月18日17時,0.01
2025年11月18日18時,0.00
2025年11月18日19時,--
2025年11月18日20時,--
2025年11月18日21時,--
2025年11月18日22時,--
2025年11月18日23時,--
2025年11月18日24時,--
2025年11月19日1時,--
2025年11月19日2時,--
2025年11月19日3時,--
2025年11月19日4時,--
2025年11月19日5時,--
2025年11月19日6時,0.00
2025年11月19日7時,0.03
2025年11月19日8時,0.60
2025年11月19日9時,1.21
2025年11月19日10時,1.44
2025年11月19日11時,1.49
2025年11月19日12時,1.91
2025年11月19日13時,1.52
2025年11月19日14時,1.00
2025年11月19日15時,1.16
2025年11月19日16時,0.50
2025年11月19日17時,0.05
2025年11月19日18時,0.00
2025年11月19日19時,--
2025年11月19日20時,--
2025年11月19日21時,--
2025年11月19日22時,--
2025年11月19日23時,--
2025年11月19日24時,--
2025年11月20日1時,--
2025年11月20日2時,--
2025年11月20日3時,--
2025年11月20日4時,--
2025年11月20日5時,--
2025年11月20日6時,0.00
2025年11月20日7時,0.03
2025年11月20日8時,0.24
2025年11月20日9時,0.51
2025年11月20日10時,0.96
2025年11月20日11時,1.79
2025年11月20日12時,2.07
2025年11月20日13時,1.82
2025年11月20日14時,1.56
2025年11月20日15時,1.03
2025年11月20日16時,0.44
2025年11月20日17時,0.04
2025年11月20日18時,0.00
2025年11月20日19時,--
2025年11月20日20時,--
2025年11月20日21時,--
2025年11月20日22時,--
2025年11月20日23時,--
2025年11月20日24時,--
2025年11月21日1時,--
2025年11月21日2時,--
2025年11月21日3時,--
2025年11月21日4時,--
2025年11月21日5時,--
2025年11月21日6時,0.00
2025年11月21日7時,0.03
2025年11月21日8時,0.55
2025年11月21日9時,1.16
2025年11月21日10時,1.67
2025年11月21日11時,1.97
2025年11月21日12時,2.04
2025年11月21日13時,1.76
2025年11月21日14時,1.51
2025年11月21日15時,1.05
2025年11月21日16時,0.45
2025年11月21日17時,0.04
2025年11月21日18時,0.00
2025年11月21日19時,--
2025年11月21日20時,--
2025年11月21日21時,--
2025年11月21日22時,--
2025年11月21日23時,--
2025年11月21日24時,--
2025年11月22日1時,--
2025年11月22日2時,--
2025年11月22日3時,--
2025年11月22日4時,--
2025年11月22日5時,--
2025年11月22日6時,0.00
2025年11月22日7時,0.03
2025年11月22日8時,0.55
2025年11月22日9時,1.17
2025年11月22日10時,1.67
2025年11月22日11時,1.97
2025年11月22日12時,2.08
2025年11月22日13時,1.95
2025年11月22日14時,1.60
2025年11月22日15時,1.05
2025年11月22日16時,0.50
2025年11月22日17時,0.05
2025年11月22日18時,0.00
2025年11月22日19時,--
2025年11月22日20時,--
2025年11月22日21時,--
2025年11月22日22時,--
2025年11月22日23時,--
2025年11月22日24時,--
2025年11月23日1時,--
2025年11月23日2時,--
2025年11月23日3時,--
2025年11月23日4時,--
2025年11月23日5時,--
2025年11月23日6時,0.00
2025年11月23日7時,0.02
2025年11月23日8時,0.36
2025年11月23日9時,0.36
2025年11月23日10時,0.81
2025年11月23日11時,0.54
2025年11月23日12時,0.49
2025年11月23日13時,0.53
2025年11月23日14時,0.78
2025年11月23日15時,0.67
2025年11月23日16時,0.42
2025年11月23日17時,0.04
2025年11月23日18時,--
2025年11月23日19時,--
2025年11月23日20時,--
2025年11月23日21時,--
2025年11月23日22時,--
2025年11月23日23時,--
2025年11月23日24時,--
2025年11月24日1時,--
2025年11月24日2時,--
2025年11月24日3時,--
2025年11月24日4時,--
2025年11月24日5時,--
2025年11月24日6時,0.00
2025年11月24日7時,0.03
2025年11月24日8時,0.49
2025年11月24日9時,1.11
2025年11月24日10時,1.59
2025年11月24日11時,1.82
2025年11月24日12時,2.02
2025年11月24日13時,1.89
2025年11月24日14時,1.54
2025年11月24日15時,0.96
2025年11月24日16時,0.45
2025年11月24日17時,0.02
2025年11月24日18時,--
2025年11月24日19時,--
2025年11月24日20時,--
2025年11月24日21時,--
2025年11月24日22時,--
2025年11月24日23時,--
2025年11月24日24時,--
2025年11月25日1時,--
2025年11月25日2時,--
2025年11月25日3時,--
2025年11月25日4時,--
2025年11月25日5時,--
2025年11月25日6時,0.00
2025年11月25日7時,0.01
2025年11月25日8時,0.08
2025年11月25日9時,0.15
2025年11月25日10時,0.29
2025年11月25日11時,0.40
2025年11月25日12時,0.21
2025年11月25日13時,0.24
2025年11月25日14時,0.20
2025年11月25日15時,0.10
2025年11月25日16時,0.05
2025年11月25日17時,0.01
2025年11月25日18時,--
2025年11月25日19時,--
2025年11月25日20時,--
2025年11月25日21時,--
2025年11月25日22時,--
2025年11月25日23時,--
2025年11月25日24時,--
2025年11月26日1時,--
2025年11月26日2時,--
2025年11月26日3時,--
2025年11月26日4時,--
2025年11月26日5時,--
2025年11月26日6時,0.00
2025年11月26日7時,0.03
2025年11月26日8時,0.47
